class,numMethods,numTries,numImports,output0,output1,output2,output3
class,numMethods,numTries,numImports,output0,output1,output2,output3
VariantURLQuery,5,3,6,Test failures,Test failures,Test failures,Test failures
OptionsParamCheckForUpdates,27,3,13,Test failures,Test failures,Test failures,Test failures
ScanProgressItem,14,3,6,Compilation errors,Compilation errors,Compilation errors,Compilation errors
PolicyManagerDialog,9,3,25,Compilation errors,Compilation errors,Compilation errors,Compilation errors
ExtensionFactory,1,3,23,Compilation errors,Compilation errors,Compilation errors,Test failures
OCRController,1,3,30,Compilation errors,Compilation errors,Compilation errors,Compilation errors
AccountWebController,2,3,25,Compilation errors,Compilation errors,Compilation errors,Test configuration errors
CustomHttpSessionListener,2,3,5,Compilation errors,Compilation errors,Compilation errors,Compilation errors
PdfUtils,1,3,33,Compilation errors,Compilation errors,Compilation errors,Compilation errors
PersistentLogin,8,3,5,Compilation errors,Compilation errors,Test configuration errors,Test configuration errors
