class,numMethods,numTries,numImports,testName,numTests,numFails,output0,output1,output2,output3
StructuralNodeModifier,7,3,3,StructuralNodeModifierUnitTest,1,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
MethodScanFilter,2,3,4,MethodScanFilterTest,0,0,Test failures,Compilation errors,Compilation errors,Compilation errors
ZapNumberSpinner,9,0,14,ZapNumberSpinnerTest,9,0,Success,,,
SummaryAndConfigPanel,2,3,8,SummaryAndConfigPanelTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
SocksProxy,8,2,3,SocksProxyTest,7,0,Compilation errors,Compilation errors,Success,
NodeJSAPIGenerator,1,3,15,NodeJSAPIGeneratorTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
OptionsProxiesTableModel,8,3,4,OptionsProxiesTableModelTest,8,3,Compilation errors,Compilation errors,Compilation errors,Test failures
ZapTextField,4,3,4,ZapTextFieldTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
MultipartFormParameter,6,0,0,MultipartFormParameterTest,6,0,Success,,,
OverlayIcon,1,3,5,OverlayIconTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
DatabaseParam,13,3,1,DatabaseParamTest,13,7,Compilation errors,Test failures,Test failures,Test failures
SearchPanel,19,1,29,SearchPanelTest,19,0,Compilation errors,Success,,
HistoryReferenceEventPublisher,1,3,2,HistoryReferenceEventPublisherTest,2,1,Test failures,Test failures,Test failures,Test failures
DownloadManager,6,3,11,DownloadManagerUnitTest,2,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
ScannerParam,51,3,11,ScannerParamUnitTest,4,3,Test failures,Test failures,Test failures,Test failures
Event,7,3,4,EventTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
HttpOutputStream,3,3,3,HttpOutputStreamTest,7,2,Compilation errors,Compilation errors,Compilation errors,Test failures
TechSet,11,3,3,TechSetUnitTest,7,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
KeyboardShortcutTableModel,8,3,4,KeyboardShortcutTableModelTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
ResponseHeaderByteHttpPanelViewModel,2,3,7,ResponseHeaderByteHttpPanelViewModelTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
MessageLocationProducerFocusListenerAdapter,5,3,4,MessageLocationProducerFocusListenerAdapterTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
DefaultParseFilter,3,3,6,DefaultParseFilterUnitTest,21,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
ComboBoxElement,3,3,1,ComboBoxElementTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
FilenameExtensionFilter,1,0,3,FilenameExtensionFilterTest,4,0,Success,,,
PopupMenuActiveScanNode,4,3,7,PopupMenuActiveScanNodeTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
PopupMenuSitesRefresh,3,1,8,PopupMenuSitesRefreshTest,3,0,Compilation errors,Success,,
ContextAuthenticationPanel,21,3,50,ContextAuthenticationPanelTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
HeadlessBootstrap,3,3,13,HeadlessBootstrapTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
ParamAddinMagic,3,0,0,ParamAddinMagicTest,3,0,Success,,,
DefaultSingleHttpMessageContainer,2,0,2,DefaultSingleHttpMessageContainerTest,3,0,Success,,,
HttpResponseBodyPanelSyntaxHighlightTextView,5,3,14,HttpResponseBodyPanelSyntaxHighlightTextViewTest,2,2,Test failures,Test failures,Test failures,Test failures
AuthenticationHelper,6,3,25,AuthenticationHelperTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
PopupExcludeFromProxyMenu,5,3,14,PopupExcludeFromProxyMenuTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
PythonAPIGenerator,1,3,17,PythonAPIGeneratorTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
HttpMessageLocationsPanel,4,3,13,HttpMessageLocationsPanelTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
AbstractScanToolbarStatusPanel,15,3,25,AbstractScanToolbarStatusPanelTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
Statistics,7,3,5,StatisticsUnitTest,15,0,Test failures,Test failures,Compilation errors,Compilation errors
StructuralNodeModifiersTableModel,12,3,5,StructuralNodeModifiersTableModelTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
HttpResponseHeader,18,3,11,HttpResponseHeaderUnitTest,15,8,Test failures,Test failures,Test failures,Test failures
ResponseHeaderStringHttpPanelViewModel,2,3,7,ResponseHeaderStringHttpPanelViewModelTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
PopupContextMenuItemHolder,3,3,11,PopupContextMenuItemHolderTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
OptionsKeyboardShortcutPanel,10,3,19,OptionsKeyboardShortcutPanelTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
AbstractMultipleOptionsBaseTablePanel,10,0,16,AbstractMultipleOptionsBaseTablePanelTest,10,0,Success,,,
TableFilterPanel,4,3,13,TableFilterPanelTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
HttpStatusCodeScanFilter,2,3,4,HttpStatusCodeScanFilterTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
SqlTableTag,4,3,9,SqlTableTagTest,0,0,Compilation errors,Test failures,Compilation errors,Compilation errors
HttpRequestHeader,23,3,15,HttpRequestHeaderUnitTest,4,1,Compilation errors,Test failures,Test failures,Test failures
TextFieldSearch,2,3,4,TextFieldSearchTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
ProxiesParam,11,1,9,ProxiesParamTest,11,0,Compilation errors,Success,,
FilterMessageTableModel,5,3,4,FilterMessageTableModelTest,5,5,Test failures,Test failures,Test failures,Test failures
ActiveScanController,19,3,22,ActiveScanControllerTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
TableCellElement,5,0,1,TableCellElementTest,5,0,Success,,,
HttpResponseAllPanelTextView,3,3,9,HttpResponseAllPanelTextViewTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
CategoryTableModel,8,3,13,CategoryTableModelTest,5,5,Compilation errors,Compilation errors,Compilation errors,Test failures
OptionsAntiCsrfTableModel,8,3,4,OptionsAntiCsrfTableModelTest,7,7,Compilation errors,Compilation errors,Test failures,Test failures
BasicOnlineContentViewerUI,1,3,10,BasicOnlineContentViewerUITest,6,6,Compilation errors,Compilation errors,Compilation errors,Test failures
PopupMenuUnsetActiveSession,4,3,3,PopupMenuUnsetActiveSessionTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
RecordParam,12,0,0,RecordParamTest,12,0,Success,,,
MessageLocationTableEntry,8,3,1,MessageLocationTableEntryTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
AbstractFormDialog,11,3,23,AbstractFormDialogTest,0,0,Compilation errors,Compilation errors,Compilation errors,Compilation errors
InMemoryStats,8,3,8,InMemoryStatsTest,8,5,Test failures,Test failures,Test failures,Test failures
RecordAlert,42,0,0,RecordAlertTest,3,0,Success,,,
