class,numMethods,numTries,numImports,output0,output1,output2,output3
StructuralNodeModifier,7,3,3,Compilation errors,Compilation errors,Compilation errors,Compilation errors
MethodScanFilter,2,3,4,Test failures,Compilation errors,Compilation errors,Compilation errors
ZapNumberSpinner,9,0,14,Success
SummaryAndConfigPanel,2,3,8,Compilation errors,Compilation errors,Compilation errors,Compilation errors
SocksProxy,8,2,3,Compilation errors,Compilation errors,Success
NodeJSAPIGenerator,1,3,15,Compilation errors,Compilation errors,Compilation errors,Compilation errors
OptionsProxiesTableModel,8,3,4,Compilation errors,Compilation errors,Compilation errors,Test failures
ZapTextField,4,3,4,Compilation errors,Compilation errors,Compilation errors,Compilation errors
MultipartFormParameter,6,0,0,Success
OverlayIcon,1,3,5,Compilation errors,Compilation errors,Compilation errors,Compilation errors
DatabaseParam,13,3,1,Compilation errors,Test failures,Test failures,Test failures
SearchPanel,19,1,29,Compilation errors,Success
HistoryReferenceEventPublisher,1,3,2,Test failures,Test failures,Test failures,Test failures
DownloadManager,6,3,11,Compilation errors,Compilation errors,Compilation errors,Compilation errors
ScannerParam,51,3,11,Test failures,Test failures,Test failures,Test failures
Event,7,3,4,Compilation errors,Compilation errors,Compilation errors,Compilation errors
HttpOutputStream,3,3,3,Compilation errors,Compilation errors,Compilation errors,Test failures
TechSet,11,3,3,Compilation errors,Compilation errors,Compilation errors,Compilation errors
KeyboardShortcutTableModel,8,3,4,Compilation errors,Compilation errors,Compilation errors,Compilation errors
ResponseHeaderByteHttpPanelViewModel,2,3,7,Compilation errors,Compilation errors,Compilation errors,Compilation errors
MessageLocationProducerFocusListenerAdapter,5,3,4,Compilation errors,Compilation errors,Compilation errors,Compilation errors
DefaultParseFilter,3,3,6,Compilation errors,Compilation errors,Compilation errors,Compilation errors
ComboBoxElement,3,3,1,Compilation errors,Compilation errors,Compilation errors,Compilation errors
FilenameExtensionFilter,1,0,3,Success
PopupMenuActiveScanNode,4,3,7,Compilation errors,Compilation errors,Compilation errors,Compilation errors
PopupMenuSitesRefresh,3,1,8,Compilation errors,Success
ContextAuthenticationPanel,21,3,50,Compilation errors,Compilation errors,Compilation errors,Compilation errors
HeadlessBootstrap,3,3,13,Compilation errors,Compilation errors,Compilation errors,Compilation errors
ParamAddinMagic,3,0,0,Success
DefaultSingleHttpMessageContainer,2,0,2,Success
