ClassTest,numTests,numFails
HttpMethodBaseUnitTest,11,0
URIUnitTest,4,0
CommandLineUnitTest,35,0
ConstantUnitTest,12,0
AbstractParamUnitTest,6,1
ProxyThreadUnitTest,4,0
AbstractAppParamPluginUnitTest,4,0
AbstractPluginUnitTest,179,0
AlertUnitTest,16,0
AnalyserUnitTest,5,0
HostProcessUnitTest,31,0
KbUnitTest,11,0
MultipartFormParameterTest,6,0
NameValuePairUnitTest,24,0
PluginFactoryUnitTest,18,0
ScannerParamUnitTest,4,3
UtilUnitTest,1,0
VariantAbstractQueryUnitTest,17,0
VariantCookieUnitTest,27,0
VariantCustomUnitTest,6,0
VariantDdnPathUnitTest,7,0
VariantHeaderUnitTest,13,0
VariantJSONQueryUnitTest,31,0
VariantMultipartFormParametersUnitTest,31,0
VariantODataUnitTest,9,0
VariantURLPathUnitTest,17,0
RecordAlertTest,3,0
RecordParamTest,12,0
ParosDatabaseUnitTest,2,0
ParosTableContextTest,3,3
ParosTableHistoryUnitTest,3,0
ExtensionLoaderUnitTest,12,0
ProxyListenerLogUnitTest,1,0
DatabaseParamTest,13,7
FileCopierUnitTest,3,0
HistoryReferenceEventPublisherTest,2,1
HttpMessageCachedDataTest,2,2
SessionUnitTest,3,0
SessionUnitTest$ContextRelatedUnitTest,1,0
SiteMapUnitTest,19,0
SiteNodeStringComparatorUnitTest,3,0
SiteNodeUnitTest,4,0
HtmlParameterUnitTest,16,0
HttpBodyUnitTest,86,0
HttpHeaderFieldUnitTest,5,0
HttpHeaderUnitTest,9,0
HttpInputStreamUnitTest,23,0
HttpMessageUnitTest,51,0
HttpOutputStreamTest,7,2
HttpRequestHeaderUnitTest,4,1
HttpResponseHeaderUnitTest,15,8
HttpSenderUnitTest,4,0
AbstractParamContainerPanelTest,10,3
VersionUnitTest,23,0
ZAPUnitTest$UncaughtExceptionLoggerUnitTest,9,0
AuthenticationMethodIndicatorsUnitTest,26,0
AuthenticationMethodPollUrlUnitTest,5,0
AuthenticationMethodUnitTest,16,0
FormBasedAuthenticationMethodTypeUnitTest,3,0
JsonBasedAuthenticationMethodTypeUnitTest,3,0
PostBasedAuthenticationMethodTypeUnitTest$FormBasedAuthenticationMethodTest,1,0
PostBasedAuthenticationMethodTypeUnitTest$ReplaceAntiCsrfTokenValueIfRequired,9,0
UsernamePasswordAuthenticationCredentialsUnitTest,8,0
AddOnClassnamesUnitTest,7,0
AddOnCollectionUnitTest,16,0
AddOnInstallerUnitTest,14,0
AddOnLoaderUnitTest,15,0
AddOnUnitTest,75,0
ExtensionFactoryUnitTest,6,0
PostponedTasksRunnerUnitTest,19,0
ZapAddOnXmlFileUnitTest,24,0
ZapReleaseComparitorUnitTest,1,0
ZapReleaseUnitTest,5,0
SqlDatabaseUnitTest,2,0
SqlTableAlertTagTest,6,0
